lemma	source	sumerian	gloss	value	squareColor	order
VE 1227'	BG	tu<sub>x</sub> (NAGA.A)	ʾ<i>a</i><sub>3</sub>-<i>a-um</i>	glossed	#ff66cc	0096
VE 1227'	BB	tu<sub>x</sub> (NAGA.A)	not glossed	not glossed	#66ff99	0097
VE 1309'	AZ	abba<sub>2</sub>	not glossed	not glossed	#66ff99	0098
VE 1309'	BD	abba<sub>2</sub>	not glossed	not glossed	#66ff99	0099
VE 1412'a	AZ	geme<sub>2</sub>-kar-ke<sub>3</sub>	<i>za-bi</i><sub></sub>-<i>tum</i>	glossed	#ff66cc	0100
VE 1412'a	d	geme<sub>2</sub>-kar-ke<sub>3</sub>	<i>ša-ma-ak-tum</i> ✽	glossed	#ff66cc	0101
VE 1412'b	d	geme<sub>2</sub>-gar<sub>3</sub>-ra	<i>za-bi</i><sub>2</sub>-<i>tum</i>	glossed	#ff66cc	0102
VE 68	EBK-A	nig₂-e₂-gul-gul	-	not glossed	#ffcc66	0103
VE 69	EBK-A					0104
VE 70	A1					0105
VE 71	EBK-A					0106
VE 72	A1					0107
VE 73	C					0108
VE 74	EBK-A					0109
VE 75	A1					0110
VE 76	B8					0111
VE 77	EBK-A					0112
VE 78	C					0113
VE 79	F					0114
VE 80	f					0115
VE 81	i					0116
VE 95	EBK-A					0117
VE 96	A2					0118
VE 97	L					0119
VE 98	C					0120
VE 99	EBK-A					0121
VE 100	A2					0122
VE 101	B8					0123
VE 102	C					0124
VE 103	K					0125
VE 104	i					0126
VE 105	EBK-A					0127
VE 106	A4-6					0128
VE 107	ak					0129
VE 108	s					0130
VE 109	EBK-A					0131
VE 110	A4-6					0132
VE 111	K					0133
VE 112	O					0134
VE 113	O					0135
VE 114	R					0136
VE 115	EBK-A					0137
VE 116	A4-6					0138
VE 117	O					0139
VE 118	EBK-A					0140
VE 119	A4-6					0141
VE 120	B8					0142
VE 121	V					0143
VE 122	A4-6					0144
VE 123	V					0145
VE 124	X					0146
VE 125	EBK-A					0147
VE 126	A4-6					0148
VE 127	B9-11					0149
VE 128	AA					0150
VE 129	EBK-A					0151
VE 130	A4-6					0152
